期刊名,Quartile,,,,,,
Contextos Educativos-Revista de Educacion,Q4,,,,,,
Croatian Journal of Education-Hrvatski Casopis za Odgoj i obrazovanje,Q4,,,,,,
Departures in Critical Qualitative Research,Q3,,,,,,
Indonesian Journal of Sustainability Accounting and Management,Q4,,,,,,
Journal of Control Science and Engineering,Q4,,,,,,
Journal of Education and Future-Egitim ve Gelecek Dergisi,Q4,,,,,,
Journal of Indian Academy of Oral Medicine and Radiology,Q4,,,,,,
Learning Communities-International Journal of Learning in Social Contexts,Q4,,,,,,
MGIMO Review of International Relations,Q4,,,,,,
Obere Extremitaet-Schulter-Ellenbogen-Hand-Upper Extremity-Shoulder Elbow Hand,Q4,,,,,,
Otolaryngology Case Reports,Q4,,,,,,
Pensar en Movimiento-Revista de Ciencias del Ejercicio y la Salud,Q4,,,,,,
SPIXIANA,Q4,,,,,,
Temas Americanistas,Q2,,,,,,
Tusculum-Casopis Za Solinske Teme,N/A,,,,,,
Yazyk i Kultura-Language and Culture,N/A,,,,,,
AIBR-Revista de Antropologia Iberoamericana,Q4,,,,,,
Anaesthesia and Intensive Care Medicine,Q4,,,,,,
ANALES DEL JARDIN BOTANICO DE MADRID,Q4,,,,,,
Annals of Pediatric Surgery,Q4,,,,,,
Contemporary Voice of Dalit,Q3,,,,,,
Current Womens Health Reviews,Q4,,,,,,
E-Mentor,Q4,,,,,,
Foro Internacional,Q4,,,,,,
Geodetski Vestnik,Q4,,,,,,
Geodynamics,Q4,,,,,,
Iberoamericana,N/A,,,,,,
International Journal of Marketing Communication and New Media,Q4,,,,,,
JOURNAL OF EXTENSION,Q4,,,,,,
JOURNAL OF THE LEPIDOPTERISTS SOCIETY,Q4,,,,,,
Kunstiteaduslikke Uurimusi,N/A,,,,,,
Middle East African Journal of Ophthalmology,Q4,,,,,,
MonTI,Q4,,,,,,
Nordisk Sygeplejeforskning-Nordic Nursing Research,Q4,,,,,,
Open Ophthalmology Journal,Q4,,,,,,
PFERDEHEILKUNDE,Q4,,,,,,
Psychology-Journal of the Higher School of Economics,Q4,,,,,,
Relaciones Internacionales-Madrid,Q4,,,,,,
Review of Development Finance,Q4,,,,,,
Thai Journal of Veterinary Medicine,Q4,,,,,,
Thoracic and Cardiovascular Surgeon Reports,Q4,,,,,,
TRANSACTIONS OF THE AMERICAN ENTOMOLOGICAL SOCIETY,Q4,,,,,,
Tripodos,Q4,,,,,,
Zbornik Veleucilista u Rijeci-Journal of the Polytechnics of Rijeka,Q3,,,,,,
Acta Bioethica,Q4,,,,,,
AMERICAN BIOLOGY TEACHER,Q4,,,,,,
ARYS-Antiguedad Religiones y Sociedades,Q2,,,,,,
Chinese Archaeology,N/A,,,,,,
CienciaUat,Q4,,,,,,
Cuadernos CANELA,N/A,,,,,,
Economic and Social Changes-Facts Trends Forecast,Q4,,,,,,
Etnoloska Tribina,Q4,,,,,,
Foundation Review,Q4,,,,,,
Groups Complexity Cryptology,Q4,,,,,,
He Kupu,Q4,,,,,,
International Journal of Combinatorial Optimization Problems and Informatics,Q4,,,,,,
Journal of Judicial Administration,Q4,,,,,,
Journal of Partial Differential Equations,Q4,,,,,,
Journal of Pediatric Surgery Open,Q4,,,,,,
JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY,Q4,,,,,,
Journal of the Indonesian Tropical Animal Agriculture,Q4,,,,,,
Markov Processes and Related Fields,Q4,,,,,,
Masyarakat Kebudayaan dan Politik,Q3,,,,,,
Mineralogical Journal-Ukraine,Q4,,,,,,
Notarzt,Q4,,,,,,
Pedagogische Studien,Q4,,,,,,
PSYCHOLOGIE IN ERZIEHUNG UND UNTERRICHT,Q4,,,,,,
Revista MVZ Cordoba,Q4,,,,,,
RUDN Journal of Sociology-Vestnik Rossiiskogo Universiteta Druzhby Narodov Seriya Sotsiologiya,Q4,,,,,,
Surgical Techniques Development,Q4,,,,,,
Vojenske Rozhledy-Czech Military Review,Q4,,,,,,
Zeitschrift fur Palliativmedizin,Q4,,,,,,
Alternativas. Cuadernos de Trabajo Social,Q4,,,,,,
Aposta-Revista de Ciencias Sociales,Q3,,,,,,
Apuntes Universitarios,Q4,,,,,,
Bariatric Surgical Practice and Patient Care,Q4,,,,,,
Canadian Journal of Career Development,Q4,,,,,,
Economic Annals-XXI,Q4,,,,,,
Estudios Demograficos y Urbanos,Q4,,,,,,
Formosan Journal of Surgery,Q4,,,,,,
Hacettepe Universitesi Egitim Fakultesi Dergisi-Hacettepe University Journal of Education,Q4,,,,,,
INDIAN JOURNAL OF ANIMAL SCIENCES,Q4,,,,,,
INDIAN JOURNAL OF FISHERIES,Q4,,,,,,
International Journal of Economics Management and Accounting,Q4,,,,,,
Iranian Journal of Neonatology,Q4,,,,,,
Italiano LinguaDue,N/A,,,,,,
Journal for New Generation Sciences,Q3,,,,,,
Journal of Egyptian Womens Dermatological Society,Q4,,,,,,
Journal of Pediatric and Neonatal Individualized Medicine,Q4,,,,,,
LCGC EUROPE,Q4,,,,,,
MATERIALS EVALUATION,Q4,,,,,,
Revista de Pedagogia Universitaria y Didactica del Derecho,Q4,,,,,,
Revista Digital de Derecho Administrativo,Q3,,,,,,
Revista on Line de Politica e Gestao Educacional,Q4,,,,,,
Sociologia y Tecnociencia,Q4,,,,,,
Trauma Monthly,Q4,,,,,,
Vestnik Sankt-Peterburgskogo Universiteta Seriya 10 Prikladnaya Matematika Informatika Protsessy Upravleniya,Q4,,,,,,
AD-minister,Q4,,,,,,
Anaesthesia Pain & Intensive Care,Q4,,,,,,
Anais Brasileiros de Estudos Turisticos-ABET,Q4,,,,,,
Annales Francaises de Medecine d Urgence,Q4,,,,,,
Anuario de Filosofia del Derecho,Q3,,,,,,
Archives of Psychiatry and Psychotherapy,Q4,,,,,,
Area Abierta,Q4,,,,,,
Canadian Journal of Bioethics-Revue Canadienne de Bioethique,Q4,,,,,,
Comptabilite Controle Audit,Q4,,,,,,
Cyprus Turkish Journal of Psychiatry and Psychology,Q4,,,,,,
Egyptian Journal of Agronomy,Q4,,,,,,
Ekonomicheskaya politika,Q4,,,,,,
Enfoque UTE,Q4,,,,,,
Eskisehir Osmangazi Universitesi IIBF Dergisi-Eskisehir Osmangazi University Journal of Economics and Administrative Sciences,Q4,,,,,,
Estudios Geograficos,Q4,,,,,,
Geriatrie et Psychologie Neuropsychiatrie du Vieillissement,Q4,,,,,,
Indian Journal of Geo-Marine Sciences,Q4,,,,,,
International Journal of Information Technology Project Management,Q4,,,,,,
International Journal of Knowledge-Based Development,Q4,,,,,,
International Real Estate Review,Q4,,,,,,
Internet Journal of Allied Health Sciences and Practice,Q4,,,,,,
ITE Transactions on Media Technology and Applications,Q4,,,,,,
Journal of Basic and Clinical Health Sciences,Q4,,,,,,
Journal of Credit Risk,Q4,,,,,,
Journal of Language and Cultural Education,Q4,,,,,,
Journal of Mathematics Mechanics and Computer Science,Q4,,,,,,
Korean Economic Review,Q4,,,,,,
Labor-Studies in Working-Class History of the Americas,Q4,,,,,,
Lenguaje y Textos,Q4,,,,,,
Methods and Objects of Chemical Analysis,Q4,,,,,,
Operative Techniques in Orthopaedics,Q4,,,,,,
Palaeohispanica-Revista sobre Lenguas y Culturas de la Hispania Antigua,N/A,,,,,,
PERIODICUM BIOLOGORUM,Q4,,,,,,
Pielegniarstwo Chirurgiczne i Angiologiczne-Surgical and Vascular Nursing,Q4,,,,,,
REVISTA PERUANA DE BIOLOGIA,Q4,,,,,,
Saudi Journal of Kidney Diseases and Transplantation,Q4,,,,,,
Sibirskiy Psikhologicheskiy Zhurnal-Siberian Journal of Psychology,Q4,,,,,,
Southern African Journal of Anaesthesia and Analgesia,Q4,,,,,,
Uchenye Zapiski Kazanskogo Universiteta-Seriya Fiziko-Matematicheskie Nauki,Q4,,,,,,
VIREF-Revista de Educacion Fisica,Q4,,,,,,
Visnyk of Taras Shevchenko National University of Kyiv-Geology,Q4,,,,,,
Zhurnal Novaya Ekonomicheskaya Assotsiatsiya-Journal of the New Economic Association,Q4,,,,,,
Cuadernos de Relaciones Laborales,Q4,,,,,,
Cuaternario y Geomorfologia,Q4,,,,,,
Duzce Medical Journal,Q4,,,,,,
Ekonomski Vjesnik,Q4,,,,,,
Engineer-Journal of the Institution of Engineers Sri Lanka,Q4,,,,,,
FinanzArchiv-European Journal of Public Finance,Q4,,,,,,
Finisterra-Revista Portuguesa de Geografia,Q4,,,,,,
Hypertension Research in Pregnancy,Q4,,,,,,
Indian Journal of Neurosurgery,Q4,,,,,,
International Journal of Computational Economics and Econometrics,Q4,,,,,,
International Journal of Gerontology,Q4,,,,,,
International Journal of Orthodontic Rehabilitation,Q4,,,,,,
Journal of Fiber Science and Technology,Q4,,,,,,
Journal of Map & Geography Libraries,Q4,,,,,,
Journal of Obstetric Anaesthesia and Critical Care,Q4,,,,,,
Journal of Pediatrics Review,Q4,,,,,,
JOURNAL OF THE AMERICAN POMOLOGICAL SOCIETY,Q4,,,,,,
Journal of the Korean Society for Aeronautical and Space Sciences,Q4,,,,,,
Medical Journal of Indonesia,Q4,,,,,,
Memo-Magazine of European Medical Oncology,Q4,,,,,,
Naval War College Review,Q4,,,,,,
NOVITATES CARIBAEA,Q4,,,,,,
Pacific Rim Property Research Journal,Q4,,,,,,
Poblacion y Salud en Mesoamerica,Q4,,,,,,
Przeglad Socjologii Jakosciowej,Q3,,,,,,
Puerto Rico Health Sciences Journal,Q4,,,,,,
Quaderns de Psicologia,Q4,,,,,,
RAEL-Revista Electronica de Linguistica Aplicada,Q4,,,,,,
Revista Brasileira de Ciencias Agrarias-Agraria,Q4,,,,,,
Revista do Servico Publico,Q4,,,,,,
REVISTA MEDICA DE CHILE,Q4,,,,,,
Revista SAAP,Q4,,,,,,
SMART-Journal of Business Management Studies,Q4,,,,,,
Statistika-Statistics and Economy Journal,Q4,,,,,,
Storica,Q2,,,,,,
Turkish Journal of Geriatrics-Turk Geriatri Dergisi,Q4,,,,,,
WORLD LITERATURE TODAY,N/A,,,,,,
Zeitschrift fur Tourismuswissenschaft,Q4,,,,,,
3C Empresa,Q4,,,,,,
Abanico Veterinario,Q4,,,,,,
African Journal of Employee Relations,Q4,,,,,,
Archives of Neuroscience,Q4,,,,,,
ARCHIVOS LATINOAMERICANOS DE NUTRICION,Q4,,,,,,
BANGLADESH JOURNAL OF BOTANY,Q4,,,,,,
Biomedical Spectroscopy and Imaging,Q4,,,,,,
Central European Journal of Economic Modelling and Econometrics,Q4,,,,,,
Clinical Social Work and Health Intervention,Q4,,,,,,
COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES,Q4,,,,,,
Current Orthopaedic Practice,Q4,,,,,,
French-Ukrainian Journal of Chemistry,Q4,,,,,,
Geophysics and Geophysical Exploration,Q4,,,,,,
Historia y Memoria de la Educacion,Q4,,,,,,
IHERINGIA SERIE BOTANICA,Q4,,,,,,
INDIAN JOURNAL OF HETEROCYCLIC CHEMISTRY,Q4,,,,,,
Izvestiya Vysshikh Uchebnykh Zavedeniy-Prikladnaya Nelineynaya Dinamika,Q4,,,,,,
Journal of Diabetology,Q4,,,,,,
Journal of Indian Association of Public Health Dentistry,Q4,,,,,,
Journal of Mathematical and Fundamental Sciences,Q4,,,,,,
Journal of Pediatric Infectious Diseases,Q4,,,,,,
Journal of Social Policy Studies,Q4,,,,,,
JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY,Q4,,,,,,
Journal of the Statistical and Social Inquiry Society of Ireland,Q3,,,,,,
KLINISCHE NEUROPHYSIOLOGIE,Q4,,,,,,
Konuralp Tip Dergisi,Q4,,,,,,
LIBRARY TRENDS,Q4,,,,,,
Life Span and Disability,Q4,,,,,,
Marmara Medical Journal,Q4,,,,,,
Nafta-Gaz,Q4,,,,,,
Nativa,Q4,,,,,,
Nexo Revista Cientifica,Q4,,,,,,
Opir Materialiv i Teoria Sporud-Strength of Materials and Theory of Structures,Q4,,,,,,
Praxis & Saber,Q4,,,,,,
REVISTA CIENTIFICA-FACULTAD DE CIENCIAS VETERINARIAS,Q4,,,,,,
Revista de Agricultura Neotropical,Q4,,,,,,
Revista de Humanidades,N/A,,,,,,
Revista Economia,Q4,,,,,,
Revista Internacional de Pensamiento Politico,Q4,,,,,,
Revista Mexicana de Ciencias Politicas y Sociales,Q3,,,,,,
Revista Universidad y Sociedad,Q3,,,,,,
Sante Mentale au Quebec,Q4,,,,,,
Scientific Journals of the Maritime University of Szczecin-Zeszyty Naukowe Akademii Morskiej w Szczecinie,Q4,,,,,,
SIYASAL-Journal of Political Sciences,Q4,,,,,,
Teaching of Mathematics,Q4,,,,,,
Uchenye Zapiski Kazanskogo Universiteta-Seriya Estestvennye Nauki,Q4,,,,,,
Vestnik Transplantologii i Iskusstvennyh Organov,Q4,,,,,,
ZEITSCHRIFT FUR PADAGOGIK,Q4,,,,,,
Acta Angiologica,Q4,,,,,,
Acta Facultatis Medicae Naissensis,Q4,,,,,,
Advances in Human Biology,Q4,,,,,,
Alkoholizm i Narkomania-Alcoholism and Drug Addiction,Q4,,,,,,
Archives des Maladies Professionnelles et de l Environnement,Q4,,,,,,
Archives of Epilepsy,Q4,,,,,,
Asia-Pacific Management Accounting Journal,Q4,,,,,,
BIOTECHNOLOGY LAW REPORT,Q4,,,,,,
Cabas,Q4,,,,,,
Caravelle,N/A,,,,,,
Cirugia Cardiovascular,Q4,,,,,,
Cuadernos de Linguistica Hispanica,Q4,,,,,,
EMITTER-International Journal of Engineering Technology,Q4,,,,,,
Galician Medical Journal,Q4,,,,,,
IEICE Communications Express,Q4,,,,,,
Indian Journal of Community Health,Q4,,,,,,
Indonesian Capital Market Review,Q4,,,,,,
International Journal of Applied Mathematics & Statistics,Q4,,,,,,
International Journal of Noncommunicable Diseases,Q4,,,,,,
Iranian Journal of Nuclear Medicine,Q4,,,,,,
Istanbul Iktisat Dergisi-Istanbul Journal of Economics,Q4,,,,,,
Jokull,Q4,,,,,,
Journal of Acute Disease,Q4,,,,,,
JOURNAL OF COSMETIC SCIENCE,Q4,,,,,,
Journal of Economic Policy Researches-Iktisat Politikasi Arastirmalari Dergisi,Q4,,,,,,
Journal of the Acoustical Society of Korea,Q4,,,,,,
Journal of the Korean Earth Science Society,Q4,,,,,,
Jurnal Gizi dan Pangan,Q4,,,,,,
Light & Engineering,Q4,,,,,,
Nauchnye i Tekhnicheskie Biblioteki-Scientific and Technical Libraries,Q4,,,,,,
NAVAL ENGINEERS JOURNAL,Q4,,,,,,
Neurology Asia,Q4,,,,,,
Neuropsychiatria i Neuropsychologia,Q4,,,,,,
Nonlinear Phenomena in Complex Systems,Q4,,,,,,
Psycho-Oncologie,Q4,,,,,,
Radio Electronics Computer Science Control,Q4,,,,,,
REFRACTORIES AND INDUSTRIAL CERAMICS,Q4,,,,,,
Revija za Socijalnu Politiku,Q4,,,,,,
Revista De Historia De La Psicologia,Q4,,,,,,
REVISTA DE LA SOCIEDAD GEOLOGICA DE ESPANA,Q4,,,,,,
Revista Fitotecnia Mexicana,Q4,,,,,,
Revista Gestao & Tecnologia-Journal of Management and Technology,Q4,,,,,,
Revista Internacional de Relaciones Publicas,Q4,,,,,,
Romanian Astronomical Journal,Q4,,,,,,
Scienza & Politica-Per una Storia delle Dottrine,Q4,,,,,,
South of Russia-Ecology Development,Q4,,,,,,
Spektrum der Augenheilkunde,Q4,,,,,,
Sudan Journal of Medical Sciences,Q4,,,,,,
Urbe-Revista Brasileira de Gestao Urbana,Q4,,,,,,
Vestnik Sankt-Peterburgskogo Universiteta-Ekonomika-St Petersburg University Journal of Economic Studies,Q4,,,,,,
Vestnik Tomskogo Gosudarstvennogo Universiteta-Biologiya,Q4,,,,,,
ZHURNAL OBSHCHEI BIOLOGII,Q4,,,,,,
Acciones e Investigaciones Sociales,Q3,,,,,,
Acta Infologica,Q4,,,,,,
Acta Phlebologica,Q4,,,,,,
Acta Universitatis Sapientiae Informatica,Q4,,,,,,
AIB Studi,Q4,,,,,,
Bulletin of University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca-Food Science and Technology,Q4,,,,,,
CASTANEA,Q4,,,,,,
Chemical Bulletin of Kazakh National University,Q4,,,,,,
CIC-Cuadernos de Informacion y Comunicacion,Q4,,,,,,
Civil Engineering Journal-Stavebni Obzor,Q4,,,,,,
Current Research in Social Psychology,Q4,,,,,,
Current Respiratory Medicine Reviews,Q4,,,,,,
Educade-Revista de Educacion en Contabilidad Finanzas y Administracion de Empresas,Q4,,,,,,
Environnement Risques & Sante,Q4,,,,,,
FIBRE CHEMISTRY,Q4,,,,,,
Geosfernye Issledovaniya-Geosphere Research,Q4,,,,,,
Gynecology and Pelvic Medicine,Q4,,,,,,
Hidrobiologica,Q4,,,,,,
IC-Revista Cientifica de Informacion y Comunicacion,Q4,,,,,,
Ideas in Ecology and Evolution,Q4,,,,,,
INTERNATIONAL JOURNAL OF MATERIALS & PRODUCT TECHNOLOGY,Q4,,,,,,
Journal of Financial Market Infrastructures,Q4,,,,,,
Journal of Medical and Biomedical Science,Q4,,,,,,
Journal of Neuroanaesthesiology and Critical Care,Q4,,,,,,
Konya Journal of Engineering Sciences,Q4,,,,,,
Lengua y Migracion-Language and Migration,Q4,,,,,,
Medecine Palliative,Q4,,,,,,
Molecular Genetics Microbiology and Virology,Q4,,,,,,
Rational Pharmacotherapy in Cardiology,Q4,,,,,,
Revista Brasileira de Inovacao,Q4,,,,,,
Revista Critica de Ciencias Sociais,Q3,,,,,,
Revista Geografica de America Central,Q4,,,,,,
Revue de Geographie Alpine-Journal of Alpine Research,Q4,,,,,,
Revue Francaise d Allergologie,Q4,,,,,,
RUSSIAN METALLURGY,Q4,,,,,,
SAJOG-South African Journal of Obstetrics and Gynaecology,Q4,,,,,,
Sante Publique,Q4,,,,,,
Spisanie Na B Lgarskoto Geologichesko Druzhestov-Review of the Bulgarian Geological Society,Q4,,,,,,
TERAPEVTICHESKII ARKHIV,Q4,,,,,,
Trabajo Social,Q4,,,,,,
TROPICAL AGRICULTURE,Q4,,,,,,
Turk Osteoporoz Dergisi-Turkish Journal of Osteoporosis,Q4,,,,,,
TURK PSIKOLOJI DERGISI,Q4,,,,,,
Vestnik of Saint Petersburg University Earth Sciences,Q4,,,,,,
Agricultura Sociedad y Desarrollo,Q4,,,,,,
Archives of Orofacial Science,Q4,,,,,,
Australian Geomechanics Journal,Q4,,,,,,
Bauphysik,Q4,,,,,,
BIOMEDICAL ENGINEERING,Q4,,,,,,
CAPjournal,Q4,,,,,,
Casopis za Ekonomiju i Trzisne Komunikacije,Q4,,,,,,
Colorectal Cancer,Q4,,,,,,
Computer Science Journal of Moldova,Q4,,,,,,
Cyprus Journal of Medical Sciences,Q4,,,,,,
Egyptian Journal of Chest Diseases and Tuberculosis,Q4,,,,,,
Endocrinology Research and Practice,Q4,,,,,,
HIV & AIDS Review,Q4,,,,,,
Informes de la Construccion,Q4,,,,,,
Ingenieria Solidaria,Q4,,,,,,
Inorganic Materials-Applied Research,Q4,,,,,,
International Journal of Autonomous and Adaptive Communications Systems,Q4,,,,,,
International Journal of Hepatobiliary and Pancreatic Diseases,Q4,,,,,,
INTERNATIONAL JOURNAL OF POWDER METALLURGY,Q4,,,,,,
International Journal of Services Technology and Management,Q4,,,,,,
Italian Journal of Vascular and Endovascular Surgery,Q4,,,,,,
Journal of Educational Cultural and Psychological Studies,Q4,,,,,,
Journal of Quality Measurement and Analysis,Q4,,,,,,
Journal of the Practice of Cardiovascular Sciences,Q4,,,,,,
Journal of Theoretical and Applied Mechanics-Bulgaria,Q4,,,,,,
Korean Chemical Engineering Research,Q4,,,,,,
Libres-Library and Information Science Research Electronic Journal,Q4,,,,,,
Mediterranean Journal of Infection Microbes and Antimicrobials,Q4,,,,,,
Palawan Scientist,Q4,,,,,,
ReiDoCrea-Revista Eectronica de Investigacion y Docencia Creativa,Q3,,,,,,
Revista de Gestao e Projetos,Q4,,,,,,
Revista Ingenieria de Construccion,Q4,,,,,,
Riset Geologi dan Pertambangan,Q4,,,,,,
Soil & Environment,Q4,,,,,,
Southern African Journal of Gynaecological Oncology,Q4,,,,,,
Tecnologia y Ciencias del Agua,Q4,,,,,,
Tocqueville Review,Q4,,,,,,
Turkish Journal of Immunology,Q4,,,,,,
UCJC Business and Society Review,Q4,,,,,,
Vigilancia Sanitaria em Debate-Sociedade Ciencia & Tecnologia,Q4,,,,,,
ZEITSCHRIFT FUR HISTORISCHE FORSCHUNG,Q2,,,,,,
ACTA ANAESTHESIOLOGICA BELGICA,Q4,,,,,,
Acta Chemica Iasi,Q4,,,,,,
Alergia Astma Immunologia,Q4,,,,,,
Analytical Science and Technology,Q4,,,,,,
Avances en Ciencias e Ingenieria,Q4,,,,,,
Boletin de Ciencias de la Tierra,Q4,,,,,,
Ciencias Agronomicas,Q4,,,,,,
CORNELL INTERNATIONAL LAW JOURNAL,Q3,,,,,,
CUHSO-Cultura-Hombre-Sociedad,Q4,,,,,,
Egyptian Journal of Critical Care Medicine,Q4,,,,,,
Eleuthera,Q4,,,,,,
Eria-Revista cuatrimestral de Geografia,Q4,,,,,,
Generations,Q4,,,,,,
INGE CUC,Q4,,,,,,
INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,Q4,,,,,,
International Journal of Nanotechnology,Q4,,,,,,
JOURNAL OF ADVANCED APPLIED SCIENTIFIC RESEARCH,Q4,,,,,,
Journal of Cellular Automata,Q4,,,,,,
Journal of Environmental Science and Management,Q4,,,,,,
Journal of Food Science and Technology-Ukraine,Q4,,,,,,
Journal of Musculoskeletal Surgery and Research,Q4,,,,,,
Journal of the Korean Electrochemical Society,Q4,,,,,,
Korean Journal of Materials Research,Q4,,,,,,
Litera-Journal of Language Literature and Culture Studies,N/A,,,,,,
Perspectivas em Ciencia da Informacao,Q4,,,,,,
Postepy Higieny I Medycyny Doswiadczalnej,Q4,,,,,,
Revista Espanola de Nutricion Humana y Dietetica,Q4,,,,,,
Revue Internationale PME,Q4,,,,,,
RISUS-Journal on Innovation and Sustainability,Q4,,,,,,
South African Crime Quarterly-SACQ,Q4,,,,,,
Universa Medicina,Q4,,,,,,
Universitas Psychologica,Q4,,,,,,
University Politehnica of Bucharest Scientific Bulletin Series B-Chemistry and Materials Science,Q4,,,,,,
University Politehnica of Bucharest Scientific Bulletin Series C-Electrical Engineering and Computer Science,Q4,,,,,,
WEST INDIAN MEDICAL JOURNAL,Q4,,,,,,
Astrolabio-Nueva Epoca,Q3,,,,,,
Contexto,N/A,,,,,,
CPU-e Revista de Investigacion Educativa,Q4,,,,,,
Glasnik Hemicara i Tehnologa Bosne i Hercegovine,Q4,,,,,,
International E-Journal of Criminal Sciences,Q4,,,,,,
Izvestiya Vuzov-Prikladnaya Khimiya i Biotekhnologiya,Q4,,,,,,
LISTY CUKROVARNICKE A REPARSKE,Q4,,,,,,
MICROWAVE JOURNAL,Q4,,,,,,
MILITARY OPERATIONS RESEARCH,Q4,,,,,,
Retail and Marketing Review,Q4,,,,,,
Revista Brasileira de Futsal e Futebol,Q4,,,,,,
Revista Chilena de Neuropsicologia,Q4,,,,,,
Revista CS en Ciencias Sociales,Q4,,,,,,
Revista Gestion de las Personas y Tecnologia,Q4,,,,,,
Revista Latinoamericana de Investigacion en Matematica Educativa-RELIME,Q4,,,,,,
Revista Latinoamericana de Metodologia de las Ciencias Sociales,Q3,,,,,,
Web Intelligence,Q4,,,,,,
AUSTRALIAN FARM BUSINESS MANAGEMENT JOURNAL,Q4,,,,,,
CHEMICAL AND PETROLEUM ENGINEERING,Q4,,,,,,
Contabilidade Gestao e Governanca,Q4,,,,,,
Cuadernos del CIMBAGE,Q4,,,,,,
ENTRE CIENCIA E INGENIERIA,Q4,,,,,,
Farmeconomia-Health Economics and Therapeutic Pathways,Q4,,,,,,
Inquietud Empresarial,Q4,,,,,,
International Journal of Clinical and Experimental Medicine,Q4,,,,,,
Journal of Lusophone Studies,N/A,,,,,,
Odontoestomatologia,Q4,,,,,,
PERIPLO SUSTENTABLE,Q4,,,,,,
Scire-Representacion y Organizacion del Conocimiento,Q4,,,,,,
SOCIOLOGIE DU TRAVAIL,Q4,,,,,,
SOUTHWESTERN NATURALIST,Q4,,,,,,
Turkish Journal of Business Ethics,Q4,,,,,,
Advances in Environmental Research-An International Journal,Q4,,,,,,
ATP Magazine,Q4,,,,,,
Contaduria Universidad de Antioquia,Q4,,,,,,
Cuestiones de Sociologia,Q4,,,,,,
LATIN AMERICAN MUSIC REVIEW-REVISTA DE MUSICA LATINOAMERICANA,N/A,,,,,,
Perspectiva Geografica,Q4,,,,,,
PHYSICS WORLD,Q4,,,,,,
Revista de Estudios Regionales,Q4,,,,,,
SA Pharmaceutical Journal,Q4,,,,,,
Espace Politique,Q4,,,,,,
Euskera,N/A,,,,,,
Revista Comunicacion,Q4,,,,,,
Revista Latinoamericana de Estudios sobre Cuerpos Emociones y Sociedad,Q4,,,,,,
Revista Rupturas,Q3,,,,,,
KENYON REVIEW,N/A,,,,,,
Music and The Moving Image,N/A,,,,,,
PROCEEDINGS OF THE AMERICAN PHILOSOPHICAL SOCIETY,N/A,,,,,,
Socialist Studies,Q4,,,,,,
NEW GERMAN CRITIQUE,N/A,,,,,,
RIHA Journal,N/A,,,,,,
GERMAN LIFE AND LETTERS,N/A,,,,,,
COLLEGE ENGLISH,N/A,,,,,,
Bulletin of Spanish Studies,N/A,,,,,,
JOURNAL OF MEDIEVAL HISTORY,N/A,,,,,,
RUSSIAN LITERATURE,N/A,,,,,,
JOURNAL OF HELLENIC STUDIES,N/A,,,,,,
Partial Answers-Journal of Literature and the History of Ideas,N/A,,,,,,
ROMANCE QUARTERLY,N/A,,,,,,
Nueva Revista Filologia Hispanica,N/A,,,,,,
Forum for World Literature Studies,N/A,,,,,,
GERMANIC REVIEW,N/A,,,,,,
Eighteenth-Century Fiction,N/A,,,,,,
CONTEMPORARY FRENCH AND FRANCOPHONE STUDIES,N/A,,,,,,
REVUE ROMANE,N/A,,,,,,
Melanges de la Casa de Velazquez,Q2,,,,,,
Literature Compass,N/A,,,,,,
Italian Studies,N/A,,,,,,
CRITICAL QUARTERLY,N/A,,,,,,
Boletin de Literatura Oral,N/A,,,,,,
ARETHUSA,N/A,,,,,,
Cambridge Classical Journal,N/A,,,,,,
Mouseion-Journal of the Classical Association of Canada,N/A,,,,,,
AUSTRALIAN LITERARY STUDIES,N/A,,,,,,
DIACRITICS-A REVIEW OF CONTEMPORARY CRITICISM,N/A,,,,,,
LIT-Literature Interpretation Theory,N/A,,,,,,
MNEMOSYNE,N/A,,,,,,
VOLKSKUNDE,N/A,,,,,,
Caliope-Journal of the Society for Renaissance and Baroque Hispanic Poetry,N/A,,,,,,
CLASSICAL QUARTERLY,N/A,,,,,,
Philippine Studies-Historical and Ethnographic Viewpoints,Q2,,,,,,
Shakespeare,N/A,,,,,,
SEMINAR-A JOURNAL OF GERMANIC STUDIES,N/A,,,,,,
MEDIEVAL HISTORY JOURNAL,N/A,,,,,,
Passagens-International Review of Political History and Legal Culture,Q2,,,,,,
NEW THEATRE QUARTERLY,N/A,,,,,,
ARIEL-A REVIEW OF INTERNATIONAL ENGLISH LITERATURE,N/A,,,,,,
JOURNAL OF COMMONWEALTH LITERATURE,N/A,,,,,,
GREEK ROMAN AND BYZANTINE STUDIES,N/A,,,,,,
ORBIS LITTERARUM,N/A,,,,,,
Torres de Lucca-Revista Internacional de Filosofia Politica,N/A,,,,,,
FORUM ITALICUM,N/A,,,,,,
HELIOS,N/A,,,,,,
UNIVERSITY OF TORONTO QUARTERLY,N/A,,,,,,
Philosophy of Music Education Review,N/A,,,,,,
PACIFIC HISTORICAL REVIEW,Q2,,,,,,
GREECE & ROME,N/A,,,,,,
Tydskrif vir letterkunde,N/A,,,,,,
